summaries|pros|cons|adviceMgmt|ratings
Staff Nurse II|It will give you a lot of potential to grow or build your experience in any area that you really wanted to be go.|Nurses that works there for a long time acts like they are prima-donna! And the management does micro manageTheir nurses at times.||4.0
Call Center Representative|compensation, hours, benefits, and ability to telework|It can get frustrating working with some of the older members||4.0
are we minions?|Good health benefits, good overall benefits, diverse work environment, competitive pay, different positions avail.|no support from union reps or upper management. department does not adhere to union guidelines--no proper breaks, no stretch breaks, stations are not ergonomically correct, excessive micro-managing, forced to stand all shift (denied chairs), not allowed water at station, inconsiderate and possibly illegal scheduling w/o proper pay. no accountability when managers find loopholes (i.e. scheduling employees over 40 hours in a row, with no overtime pay).|Be fair, follow federal laws, and union guidelines. Listen to feedback from fellow employees.|3.0
Cleaning up hazardous materials and disposal|The people and atmosphere and getting my work done with no hassles. Not being told how to do my job very good atmosphere to work in.|I like to keep busy and sometimes it gets slow but always picks up I'm wanting to train to drive hazardous materials next but for now I'm glad to do something I'm good at|Have none|3.0
Great Place to work, have to put in your time from the bottom though|- growth potential, pay, and relatively easy workdays|- can be mundane to repeat the same tasks over and over- takes a long time before moving your way up through the company no matter how good you are at your job (seniority based)- can be rigid and opposed to change at times||4.0
good benefits|good benefits, great place to work|hard to move up, its who you know|give people a chance to prove themselves, promote by merit and not by who you know|4.0
Great company but their job descriptions don't add up to what the job entails|Health insurance was GREAT and inexpensive for employees and their families.|The job descriptions and job titles don't always represent the work you'll actually be doing. That's unfortunate and leads to a culture of mistrust among new staff and management.|Honesty is key when hiring. Be clear and upfront about the job duties.|4.0
Forms clerk|Friendly staff, great benefits and growth opportunities|Working in the union has some challenges as far as everything going by seniority||5.0
Kaiser is an EXCELLENT employer|All infrastructure is in place, tested, high quality, and sound (no pc mishaps or down time). Mission and vision are followed and in definite sync with staff members. Great group of people, everywhere you go. Excellent benefits and compensation. A great deal of opportunity for upward movement; support from managers and supervisors. Excellent work-life balance. Focus on health.|No cons thus far; cannot imagine any. They hire the right kind of people and train and develop them in the best ways possible.|Keep up the great work and let's continue to provide superior customer service to all constituencies.|5.0
ANM|Encourages a work life balance|Can tend to be service/member focused than employee focused.||5.0
Dept mgr leader|The salary is amazing, Bay Area pay but live in outskirts of sacramento|They make you workFor every penny and then some. Poor work life balance, not enough support in mgt role. YouDoIt all. Modern day slavery|Compare all of your sites, measure mgt happiness, see what's missing. Th structures of each facility are all off. Analyz each one to see where the deficits are. Managers are burning out, and please please get together and do something about your weak attendance policy, probably the worst in any hospital I have ever worked with compounded with a strong union.... it's a lose lose situation!|3.0
Teacher|To learn more about possibilities in other careers.|Lack of knowledge on so many opportunities.|To have more information on a variety of other career opportunities.|5.0
SYEP intern|very welcoming environment for someone who just came out of high school|quite a bit of downtime for an internship||4.0
Decent At Best|Great benefits, Employee Assistance Program is helpful for those with mental or behavioral health issues, consistent pay, stable position if you're complacent, opportunity for growth if interested in staying within organization|Schedule isn't very flexible, time off is provided but frowned upon, duties and responsibilities change very often and can be overwhelming|Invest in the care of your employees more than the growth of your income, appreciate your customer service representatives the same way you appreciate your doctors and patients|3.0
Local Member Services|Good pay, great benefits, good support system by management.|High deman job with face to face transaction with negative customer experiences.||5.0
Office Manager|Great company with great benefits.|"Promotion of unqualified employees; don't promote someone into management without sending them to training classes. Too many employees are promoted into supervisory position without any knowledge of management and/or people skills. This is the primary reason some of the ""best"" KP employees have left or leaving the company."|Take a better look at your employees that are high achievers verse the slackers, those who've been around for decades and aren't productive at all; their just waiting around to retire. Review your operational processes - they are out dated!|4.0
Receptionist|Enjoy the patients Nd giving quality care to the patient in came in contact with|Time was short their and i.missed being with patients||4.0
Leave Approval|Benefits are awesome, Union tight and supportive, salary good and overall Kaiser has a lot to offer and EMPLOYEES insurance is free and with family of 2 $20 bi-weekly. Awesomeness|Leave denied often in the Specialty Call Centers|Have more huddles and meetings / listen to your staff and follow up|3.0
Associate Financial Analyst- program offices|The people at this organization are phenomenal and genuine. Every meeting you enter you'll hear about the mission statement and how we could continue to achieve it with the work that we do. It goes without saying that the values are in the right place. Work life balance is encouraged, and many people get the option of working from home (however this varies with who you work under). Kaiser Permanente is massive and you have the ability to make career switches internally more easily. Medical coverage is phenomenal.|Very hierarchical and political and a complex organization. As a young professional starting off my career, the growth is very slow here and its hard to make an impact through innovation. People are set in their ways and hate change, therefore processes and even technology is ancient and sometimes inefficient.||4.0
Co manager|Benefits, fast paste at work, cleaning, contact with costumer and easy job|The pay isn't accurate and bad management|The management where I work at needs better communication and more hands on to their job, they are not organized.|2.0
Be Proud to work@Kaiser|Working at Kaiser employee has work life balance. Kaiser is one of the leaders in setting high Healthcare standards, high quality service for our members & community and provides affordable care. In IT, we have lot of cutting edge technologies to explore and innovate cool solutions for improving healthcare services.|You have to be in the right team with your expertise.|Keep it up! I am proud to be the employee of Kaiser Permanente.|5.0
The future of health care|Fabulous medical group: great collegiality, collaboration.Doctors (and PAs ARNPs optometrists, CNMs CNRAs PTs OTs SLPs, etc) get to practice medicine the way it should be practiced.|expecting a lot of growth for many years. this may stress the system||5.0
IT Consultant (KPIT)|Great training, Great benefit, great pay, lots of time off, leadership cares about staff (mindset and physical health)|Can't work remotely, this is an hourly position.||4.0
Student Nurse Intern|Great Teamwork and collaboration, positive morale on unit, personable and understanding of managers|Hiring process took a long time||4.0
Finance Manager for Kaiser Permenante|Nice People, Good Benefits, Work life balance|None that come to mind|non|4.0
Account administrative representative.|Great benefits, lots of opportunities to learn and build leadership. Company is very employee oriented . Best company to work for.|I do not have any cons for this company||5.0
Financial Counselor Admitting/Emergency Department|The employees are fantastic and want things to improve!|Management is horrible, clueless and unqualified. Union does nothing for you and benefits used to be great. The doctors are no longer in charge, paper pushers are, not worth the heartache or headaches.|Learn the jobs your employees perform so you can understand the job, the stress and their expectations|1.0
Kaiser Permanente Clinical Trials is not worth the time|None, Clinical Trials Research Associates are treated like 3rd world staff and the pay is pitiful compared to the private sector. The work always exceeds 40hrs a week and the current regime of doctors and director are to busy with politics to care.|Ladder to climb is slow and nonexistentWorkload is extremely high and the pay is laughable.High employee turnover creates more work for the current employeesThey never look to improve just maintain|Hire more and pay your employees. Currently, your turnover is extremely high? Maybe actually address this issue.|2.0
Great Company|Great pay and great benefits|No Cons at this time||5.0
Project Manager|Good benefits. Some managers are very professional, complete managers|Company is in the midst of changing from a helping service company with heart to an average corporate money-driven entity.||3.0
Medical Assistant|Great company to work for|Upper management is not good at all|Upper Management is not that great|5.0
Medical Records Clerk|Great environment, great benefits, possibility for long term career.|Lazy employees, people take advantage and management does not do anything about it|Hire better staff|4.0
Bullying allowed|The Benefits, job security, many locations to chose from if you want to transfer within the company|Managers who are bullies lead to poor morale and best employees leave. Interview whole departments where people are leaving frequently if you need to. Do something!|Listen to your employees, do something immediately about bullies in management|3.0
Pharmacy clerk|Great people to work with. Wonderful pay|Fast pace. Patents are not always nice. Work around illness||5.0
Superintendent|Good work that makes an immediate difference to patient care|Many redundant forms and procedures but is needed to maintain and prove compliance to procedures|Simplify processes and procedures if possible|4.0
Good Company, Great Benefits|excellent benefits. Nice enough offices. The newer offices are nicer; they are slowly upgrading.|so much politics and bureaucracy! Its hard getting the simplest decision made. Many of the 'old timers' are lifers--with good reason--but they have become bitter over the years.||4.0
Solid company with exceptional values|Values employeesOutstanding benefitsAbove average compensation and bonus structure (depending on unit)Promotes development and educationLeading in technology and innovation compared to other systemsGood at making sure employees have training and tools needed to do workEncourages open feedback to all levels of managementOpportunities, if interested, to contribute to process improvementGood community involvement and volunteer opportunities|San Diego Medical Group Administrator (CAO) is tired, awkward and needs to go. He gives promotions to blonde women and leaves out whether or not they have real qualifications.Growth opportunity is slow. If you want a promotion, you have to move to other departments or leave the area to other Kaiser Permanente areas.|Get a new medical group administrator to breathe some fresh air in to the stale culture on the med group side.|4.0
Recruiter|An excellent place to work at and retire|Pay could be better but not bad|Continue the good work|5.0
Pharmacist|Good hours. Good pay. Great benefits. Nice people to work with. Closed health system. Easier to resolve issues relative to other work environments.|Difficult to transfer between departments. Otherwise a really nice place to work with lots of benefits. Great people to work with.||5.0
Work-life balance|Multiple specialties/departments, good service system, multiple service locations, preferred providers, access to premium services.|High work load, need more staff to address client needs, stays busy, lots of dissatisfied clients, not enough staffing support.|Staff need more sensitivity from you|3.0
Kaiser is a great place to develop|Kaiser is a well-structured business with good ethics|Kaiser is a not for profit company||5.0
Information protection senior|Kaiser Permanente offers great benefits.|If you are not union, advancement and pay is minimum. Only way to advance is to transfer to new positions.|Pay attention to employee happiness. Happy employees work hard and strive to produce quality work.|4.0
Just started.|"Seems like a great place to grow and like company takes care of their employees. Once you get your foot in door, many opportunity to ""thrive""."|I really would have preferred a part time than prn job for the benefits but hourly made up for lost benefits.||3.0
NOVA Optical|good benefits and pay, room to move up|worst management on earth. stay away||3.0
Manager|Great culture and benefits. Very strong mission and values.|Bureaucratic and some archaic systems. Sometimes unrealistic expectations.||5.0
Cronyism & Favoritism In The Department|The benefits if I have to put something but it's not the best.|"Management in the department practices cronyism and favoritism. They preach one thing but practice another. They take care of Millennials even if they are completely incompetent and is dragging down everyone else in the department. If you're an older worker looking for growth, don't even work here because there's none herefor you. And if you're competent, they will dump all the work on you while going around touting themselves as the ""best performing department "" when in reality you have a few people doing all the work. You will only get a measly 2%salary increase and tiny bonus which do not even make up for the very long hours that you've already put in. On the other hand, those incompetent ones are generously rewarded. The very competent people are miserable and most have either left the company or are actively looking to get out. It is pathetic when you have colleagues telling you, that ""Management will keep dumping work on you because they know you can do the job . They will never give it to us because the know we will $$$$ up."" If working extremely long hours (weeknights and weekends) is what you like, then come to KP. Performance evaluations are done unfairly by inflating the ratings of the incompetent ones and management's 'friends. It's very obvious to see who got a good vs bad evaluation. And when you try to reason with management, they call you a troublemaker. If management finds you not in their favor because you challenge their incompetence , they will make your life miserable by writing false things in your evaluation or badmouthing you. It's basically career suicide in the company. .Overall, it's a very bad experience and morale is so low.Management will go out of their way to create career opportunities for their friends and not grow their talents because they are viewed as a threat. They will keep preaching that they are developing you just so that you stay working for them and doing all the work. This results in creating another group of incompetent leaders...It's a never ending cycle."|Executive leadership needs to see how dysfunctional department leaders are. To move KP to being a world class healthcare organization, then take care of the people who actually do the work, not those incompetent leaders sitting there and collecting big paychecks doing nothing but taking care of their friends or the lazy and incompetent Millennials just because that is what the CEO is pushing for. You will lose talents to your competitors because they are so fed up with giving all their best on the job but not being taken care of in return.Also don't promote the Speaking Up culture where employees are encouraged to speak up, but then reprimand them for speaking up, writing them up in their performance evaluation, and badmouthing them when they apply for a job in another department because that is the only person who carries most of the weight in the department. This type of leaders ought to be FIRED from KP because they create a very TOXIC environment.Please listen to employee compliance issues and do a better job of preventing retaliation! Do not punish those who report wrongdoing!|1.0
Diversity Wins|If you are Diverse apply|If your white male for get about it|Diversity includes white|3.0
One of the BEST companies to work for!|Caring leadership, great pay, flexible hours. Management was very supportive and strongly believed in work-life balance. The opportunities with this company are endless.|Office politics can sometimes happen in day to day operations.||5.0
Good company|They care about their employees.|Working for a large company can sometimes bog down innovation, but I don't see that they're against it.||4.0
Healthcare factory|Pay and benefitsProfessional staff and co workersPaid time for Continuing EducationKaiser is seen as an industry leaderManaged care patients are really helped by services provided by Social WorkersElectronic Medical Record, EPIC, is fantastic software|Competitive work environment at the administrative levels that trickles down to front line staffOffice space is tight and it is likely that you will have very few facility resources for space in social services or mental healthUnion is week and there is a hostile labor management relationship with NUHW.Department administrators are poorly supported and staff rarely has an opertunity to know anyone in administration or upper management for the department.Kaiser uses an assembly line model for healthcare and labor is viewed in a cog/wheel mentality. Positions are very rote and there is little opportunity for professional growth or to move up in the organization.Kaiser is powerful and faceless as an organization with lots of targets and metrics applied at a population level of healthcare. A lot of talented people are doing a good job that is rarely noticed.|Everyone in the organization should be required to provide patient care 10% or more of the time.Stop managing by managing data on spreadsheets and go talk to employees and staff.Use more of the facilities for direct patient care and give staff office space to be able to meet with patients.|3.0
Great healthcare organization|Patient-focused, continuously striving to provide high-quality care|Like any healthcare organization, it's not without its challenges but it's clear KP is trying to do what's best for the patients and people they serve||4.0
SR|Overall great management and great pay|There are no cons for the company||5.0
Great Company|Teamwork, growth opportunities, professional development, benefits, great culture|None that I've run into yet.||5.0
great benefits - poor leadership|I have worked with some amazing providers who keep patients at the center of everything they do. Because the providers get paid a salary and are not compensated based on reimbursement, there is no incentive for them to order unnecessary scans or procedures. This keeps healthcare affordable for the patient.|The union environment makes it impossible to hold anybody accountable for anything. The culture of entitlement in the organization is disgusting. Employees are allowed to dress and behave unprofessionally. The image projected on to patients is not one of professionalism or service minded nurses.|Upper leadership needs to be restructured. Too many layers.|2.0
Great leadership, amazing opportunity|Great people, tremendous opportunity for lifelong learning and advancement.|Complex, slow moving organization.|Develop your people. Take risks!|5.0
Laboratory|Great place to work, people stay at Kaiser because of its excellent benefits. The CFO is approachable, and listens to the needs of the employees.|Workload can become challenging at times||5.0
Service Representative|Amazing company, Amazing benefits, Pays well|I do not have any cons to say about the company||5.0
NOT A HEALTHY WORK CULTURE|none that I can think of|company culture is toxic. employees are very two-faced and disrespectful to each other and the members (patients). management cares more about the bottom line versus quality of service|when trying to increase membership , you are going to have to spend the money to provide quality service to these members. kaiser claims that they value respect yet the company culture is very toxic. fix it by showing that disrespect among coworkers and members is not tolerated.|1.0
Appointment clerk|Great benefits, great schedule, great coworkers|Poor management, no supervisor support|Please dedicate more time to employees|1.0
Great Place to Work|Supervisor very flexible with school schedule, unless you are a full time employee|High Workload, no recognition for hard work|It's very important to see if your employees need more staff. They're happiness is more important than you saving money on the budget.|5.0
Former business analyst|Great people, solid information systems.|A little too Machiavellian at times, such as catered employee events must adhere to hospital patient diets.||4.0
Health Plan Rep|Benefits are a huge plus!|Room for Growth is sometimes hard to come by since most people stay for a long time.||5.0
Good Place to Work|Decent Salaries and Great Benefits|Some jobs are based on seniority rather than the ability to actually do the job. Sometimes hard to move into other jobs without knowing someone who can help move you through.||3.0
Claims Examiner|Upper Management is nice and seems to mean well.|Hostile work environment, very unprofessional and how they handle major complaints.|Clean House!|1.0
Medical Assistant|You have paid benefits for you, your children, and your family. Anything not used is given to you in your pay check. They have weeks for all their employees besides just having a nurse week. They take care of us. Great sick system, paid vacations.|The fact that even though almost all of Colorado has closed when it snow storms, but we still have to come outside makes me a little irritated|I get you have a job to do, but do not micro manage. Also learn how to sympathize and have empathy when someone is going through something.|5.0
Great company with a great mission|Mission, purpose and impact. KP does great things and has a positive impact on people's lives. As mission driven organization, it more than the bottom line that matters, it people and the community.|Politics, bureaucracy and inefficiency. A large, bureaucratic organization with decentralized decision making means office politics can play an outsized role in day to day operations.||4.0
Great place|Company about helping people, with a heart. Family oriented. Great benefits and lots of training.|Long hours at time.||5.0
Admin. Assistant|The Benefit package and sometimes compensation (depending on your title) is the only PRO|Management and Senior Leadership (races, have emails to prove it)|Don't ask for a person to speak up then reprimand them for speaking up.|2.0
Nurse|Innovative and forward thinking organization|BIG corporation with complex and large systems||4.0
Its crazy being new to a department|Great learning environment. The opportunity is there to grow. The starting pay is decent.|Bullied by manager and co-workers|Fight to the end|3.0
amazing|I work from home and get $1 raise yearly. Start pay is $18-19 max pay up to $26 hourly. Don't have to spend money on gas|Need a lot of patience, can be overwhelming at times. You need to be able to muti task in a timely manner||5.0
Poorly ran administratively, compliance applied to benefit the administrator only|Many of the departments are ran well and have a great team of individuals.|Some departments are ran with a blind eye, in which all the rules are broken and if you speak up about the compliance or time sheet fraud, you are let go.|Need more oversight on who is following the principles of responsibilities vs those that consistently in power are allowed to break.|1.0
Physical therapist|the pay is great, the benefits are even better. i believe it is the best company to work for in San Diego.|You may get shifted from inpatient to outpatient every once in a while or be asked to switch locations at times. rarely for the latter.|none|5.0
UNIT ASSISTANT|I enjoy working at Kaiser for 15 years, everyone helps each other to reach our goal on our daily task. Working 24 hours a week just enough for me to get what the company benefits.|i can't recall any downside, may be when we have back to back admissions and the time to process our admissions is hard specially if all the information you need are not available.|no comment|5.0
kaiser permanente|Coworkers are nice, work in system where convenient to access your own healthcare- going to the lab, seeing the doctor, picking up a prescription, etc. is very convenient to your own work place since it's all there|can be stressful due to heavily weighted metrics system- the company is very numbers based, high volume of work|n/a|3.0
Call Center Representative|Great pay, benefits such as insurance, help with tuition and PTO, doubled holiday pay|Lots of rules, very strict, and everything is monitored very closely. The clients and patients can be extremely harsh and rude with very high chance of them cussing you out or giving you a hard time.||3.0
Southern California|Excellent benefits, growth opportunity, educational opportunities, diversity, and leadership|If you don't know how to say no then you will lose you ability for good work life balance.|Continue to develop your staff and management, keep your great benefits and always stay focused on the big picture...the patients!|5.0
Inter-Regional Transfer|Great nurses and doctors to work with. Good benefit package: job security, time off, medical/dental, retirement. Job flexibility-ability to transfer to other departments within the organization.|It should be noted in the application process for transfers from another Kaiser region to the Georgia region are considered with external applicants.|Talk to and sit down with front line staff often when implementing new concepts for the future.|5.0
OK|Great Coworkers to work with|Boring, not enough work to keep me busy||3.0
Pharmacy Project Specialist|Great benefits, excellent job security, and flexible hours|Large company, so communication between departments and regions is difficult||5.0
Best place to work|Lots of growth potential. Challenging work that makes you think. Work life balance is great. Benefits are unbeatable. Management makes you feel valued and want to come to work and be successful.|There's not much flexibility with schedules. The seniority rules out the union leave few opportunities too work any other shift.|Keep working on ways to boost moral. What you're doing has been amazing so far.|5.0
Call Center Representative|Great pay, benefits, and ergonomic work desk. Opportunities to grow within the company.|Too much drama between coworkers. Typical super strict call center environment. Mass hiring and weeding out.||2.0
Kaiser is best|Environment, Pay, Benefits, Atmosphere, Shifts available|I can't think of any right now.||5.0
Inroads Intern. Great place to work|Friendly environment. Great pay. Great benefits!|I dont have any complaints.||5.0
Good Place to Work|Great work-life balance, friendly boss, free healthcare|Free healthcare, but that means salary is not competitive.||4.0
Kaiser Permanente: RN 2 triage, charge and ED nurse|Love the people I work with. Able to expedite patient care with my experience. Able to provide the care I would like for myself or family|Work full time with skeleton crew at night. 21 rooms, no tech, no RT, three RNS and one ED Doc and boarding patients awaiting admission even to ICU|Staffing of ancillary personnel and nursing could be improved|4.0
One of the best Health care employers in the U.S,.A|The best benefits and care. Top notch retire package. Great work environments. Pay is above market.|can be stressful. Georgia region is experiencing growing pains|Place the right management in the right roles and this organization will thrive in Georgia|5.0
Systems Administrator|Great Organization to work with. Competitive pay, benefits, and PTO|It's hard to move on in the company if you do not have a direct contact or referral. Weekend work is required as well. 24/7 support in Health Care.|Help your employees be able to move on in the company. Also promote within. Promotions are very difficult even though the workload and responsibilities are already being performed.|4.0
What are you looking for?|The benefits and flexibility is awesome|They don't gives raises often. They are really bad at recognition.|Show your appreciation for a job well done.|3.0
Clinical Lab Scientist|Great place to work for Socal!|Not much to comment here||4.0
Sonographer Kaiser Permanente Downey|Kaiser Permanente Downey has great benefits and the work is fulfilling.|Kaiser Permanente Downey is a high impact hospital with multiple locations. Here you will scan portable, in the department as well as a fast paced emergency room.||4.0
ER Tech|BenefitsCoworkers are greatPlenty of hours to work never short on hoursAdvancementMoney is good|Not all kaiser are the sameToo many online and in class mandatory training|Willing listen but dont take advice|5.0
staff rn|Great working conditions, compensation and benefits. Great manager support and innovative working conditions.|I work in the ED and it is very busy with high acuity patients. We are a new facility and have already outgrown the facility due to an increase in members.|Be supportive and don't sweat the small stuff|5.0
Great Company|Kaiser invests in its employees. They offer good tuition reimbursement and also have many training sessions and courses in house. My managers are very attentive and really invest in their people. I have met so many great people within this organization that they feel like family.|Sometimes there can be many groups working on similar initiatives and email/informational overload can also occur.|Overall, I am very pleased with how KP is managed.|5.0
Family Nurse Practitioner|Great benefits, great location, sounds good on paper|So many rules, too many patients|Become more human.|2.0
Physical Therapist Assistant|One of the best companies to work with non comparable benefits|Can't think of any.||5.0
Great place to work|Great pay, great benefits, and plenty job advancement opportunities.|Some upper management belittle their employees.|Don't show favoritism, and treat every employee with kindness and respect.|5.0
Great benefits but nothing else|Employees Receive Great Medical Coverage for Entire Family|Employees are Just a Number! Regardless of Position & Tenure.|Please listen to employee compliance issues and do a better job of preventing retaliation! Do not punish those who report wrongdoing!|2.0
kaiser|good and interesting people as coworkers|there is little room for flexibility||3.0
Clerk|Excellent benefits and good pay|tight budgetary constraints to ire extra personnel||3.0
registered nurse|professional friendly and courteous staff, great company to work for!|scheduling conflicts, in office gossip|more acknowledgement on a job well done|5.0
I enjoy working and taking care of patients|I like to work with patients. I provide care while understanding the patient in efficient and compassion manner|some nurses and coworker did have compassion, and empathy while caring for elderly.|I am not sure what to say.|1.0
IT Consultant|The IT side of KP is Very flexible, good pay and great benefits.|It takes long time to get promoted||5.0
Health Ed Instructor|I have a wonderful boss and a great hourly wage.|Low room for career progression.||4.0
Culture|Above market pay makes it hard to want to leave|Union employees are entitled and cry about everything|LMP equation not working|4.0
staff pediatrician and dermatology provider|could focus on clinical medicine rather than the business aspect|less control over staff||4.0
Great company|The starting pay and annual raises are great. The work atmosphere was very friendly. Training was awesome and thorough. Hours were great.|Some management played favorites and if you are in customer service it can be hard to get out of that department at times.||4.0
great place to work|great place to work at|can't think of any cons||5.0
Good company|Great payGreat benefitsDedicated highly skilled employees|No work life balanceWork their employees day and night and require 110 % at all times|Provide better balance between work and home life|3.0
Nurse Anesthetist|Job security and good team|Work life balance and no seniority|Need more crnas and better forecasting|2.0
Great place to work|great benefits after 6 months, good pay, fair hours depending on location|very limited job scope, overall though no complaints||5.0
Great benefits, job security, but the usual bureaucracy|"Kaiser is a great place to work and build a career over time. In my experience salaries are above market for most positions, and the benefits are so good that many people become ""lifers"". The health coverage is extremely generous, and time off starts off adequate and gets better over time (18 days when you start, moving up to 33 after 15+ years - this does not include sick time). Employees truly believe in the mission of KP (at least, I do) and it's clear that this is a place where employees' contributions are valued. Although my role is not part of any of the unions, the fact that our workforce is predominantly unionized also places a positive role in KP's reputation as a good place for workers (although having unionized staff also presents many challenges). Overall, I enjoy working at KP and would recommend it to others, but understand that you are entering a big bureaucracy. A friendly, mission-driven bureaucracy, but still."|"Cons: having lots of ""lifers"" means that innovative ideas and workflows are not always adopted without a fight. People have their roles deeply embedded here, and any threat to the status quo is seen as negative, even though we need to make some pretty radical changes given the new health care environment post-ACA. There's a lot of ""not my job"" attitudes here. It's hard to navigate the layers of bureaucracy, both in terms of personnel/HR/benefits, and in getting work done (there are often 4-5 departments at the regional and national KP levels working on similar areas, and no guidance on who does what.) Be aware that KP is not immune to reorganizations and layoffs -- they do make a good attempt to ensure workers are hired elsewhere in the organization, but there are no guarantees, and there can be a lot of turnover in certain departments.Benefits are currently generous but are always subject to downgrades in the future, so just be aware of that. Some changes to the pension and retiree medical benefits are about to hit, and with them a wave of Baby Boomers will be taking retirement, which should hopefully open up many new management opportunities for Millennials.Oh, and the biggest con of all: we still - STILL - use Lotus Notes for email. Shocking, I know, but true."|Embrace technology, trust your employees, improve senior leadership communication with front-line staff.|4.0
Family medicine physician outpatient only|Epic emrNo prior-authsFixed salary not based on RVUs|Not enough gastroenterologists for the number of new patients||5.0
Customer Service Representative|Pay, Benefits, Co-Workers, Schedule, Vacations.|Management, Metrics, Expectations, Working Environment, Culture, Micro-Management.|Stop treating your employees like dirt, and they may work better. Get an education (99% or managers have no education). Being bossy and a female dog , doesn't make you a qualified manager.|2.0
RN|Great pay, great benefits, great co-workers. It's a long-term company. Low employee turnover is impressive because it's such a great place to work.|No Kaiser hospitals in the state of GA.|N/a|5.0
Patient Access Specialist|Excellent Benefits and great pay for entry level|Growth opportunities are based on seniority|Great Management|5.0
MFT|salary, benefits; some autonomy, staff support around scheduling,|large structure; not much flexibility with hours, back to back patients; not much time to process in between or complete required documentation, feels like a factory mill at times when dealing with humans. patients have to wait weeks for an apt|be more transparent. don't book back to back; stop focusing on numbers so much. these are humans we are dealing with.|3.0
Very good position. Get to know many key employees|Amazing organization to work for, great benefits|Politics, decent pay, really no complaints|Honestly can't really complain about anything. I would recommend some positions to receive higher pay, but overall a great organization to work for with amazing values and goals.|4.0
Large company policies, but each location is different|Respectful physicians as colleaguesAdvanced practice for pharmacists availableMedical insurance is very good and low out of pocket cost.|"Lack of part time positions to support work/life balance.Has been an ""FTE neutral"" environment for about 6 years. Expected to do more with no new positions.Union in most areas, with seniority as key qualification.It's the employees' healthcare provider too. I've experienced that some specialty care departments take a long time to get in to.Empty encouragement to speak up. When issue or idea is brought up, often nothing is done. Can be labeled as complaining even when ideas are presented.Getting truly functional ergonomics takes a long time and a medical need.Difficult to change culture due to size of organization."|Recognize that in many areas employees in front line patient care are burning out. Need ability to reduce hours and/or have more care for the caregivers.Employee health program is unsuccessful when people are stretched thin, and exhausted at the end of the day that motivation to exercise and eat healthy is low. When we are stressed, the care we provide is affected.|4.0
Executive Director|Culture, Benefits, Leadership Team, Mission, Values, The People|This organization is a great organization to work for, the only con is it can be very slow moving at time.|Institute the same Lean methodologies uses in the medical care side to improve patient care within the administration side.|5.0
Nice place to work!|They have great salary and benefits.|Management could to be more professional.||4.0
Overall Kaiser Working experience in last 5 years|The Nurses are very Professional in Safe Patient Care and using Evidence Based Science in their practice|In Northern California-Kaiser keeps breaking our Labor Management Agreement as of late and only during Nurses Week for the Publicity angle do they show how they value the staff. Kaiser Northern California Regional Management level are not showing a Professional Attitude in some cases-pretty sad.|Practice what you advertise to our patients: Safe Staffing LevelsPlease stop cutting my benefits and retirement -I have given over 25 years of Great Service to my patients and I too am a Kaiser Member|3.0
Supervisor|Company is growing and expanding.|Management at multiple levels do not care for the employees like they used to. The financial bottom line is becoming the new mantra.|To many people in management positions have management skills but very poor leadership skills.|3.0
Decent people in a large IT bureaucracy|Most people are decent and hard-working; very few outright jerks.Large variety of technologies in use.|Big bureaucracy. Little sense among management that the size of the bureaucracy is a big part of the problem. Heavy reliance on contractors and consultants. Not much courage to develop inhouse expertise, although an internship program has been started recently, which is a good step.|Develop staff from the beginning of their careers.|4.0
Love it|Good job, great benefits, ok vacation|Bad 401k match, bid system for time off|Match better for 401k for those not eligible for pension|4.0
Family Medicine RN|Collaboration, teamwork, patient centered care for best outcomes. We truly care about our members.|Are network isn't fast enough. Sometimes we have challenges with equipment downloads. We are super busy.|Please give us all the tools we need to provide excellent care.|5.0
RN-CLinic|Love my team. Feel like I have a voice. I get an hour for lunch every and I'm out by 5. Hardly any overtime|CNA is really strong here. Everything is done by the contract.|None|4.0
Good for some employees|Good benefits, team environment, many qualified people|Very political atmosphere, innovation discouraged||3.0
Hard work brings personal rewards which strengthens the organization and our communities, so that we all may benefit.|Find mentors to guide you with their experience, access training/learning from the many offerings within, gain life benefits for better health, apply yourself to work balance, family, and community.|There is a work fit for pretty much anyone. Search the Careers section to see the skills you can bring to KP and experience personal improvement in the process. Everyone thrives!|Make a little more time balance for leadership skills and mentorship.|4.0
LVN|Best place I've ever worked, definitely wor and life balance|Patients are spoiled like kids||5.0
Poor Managment|Great benefits, good pay.|Management does not care about the employees. They look at numbers not people.|Listen to your employees and give back recognition.|2.0
Work environment|Lots of learningLots of leadership rolesGreat smart doctors and nurses|Little time offLarge workloadUnion relations|In this day and age, work from home opportunities would be very beneficial to employee work life balance|3.0
LVL III RN|I love the people I work with. I was born at Kaiser and knew that when I became a nurse that was where I wanted to work. It took a while, but I made it!|It took me applying 60 times to get hired. The recruiting department is poorly run. Kaiser does not train nurses for specialty areas. Instead of promoting their own employees and putting them through a short training program for specialty areas such as L & D, FCC, NICU, or SDU, they hire from outside. What kind of loyalty is that for their employees?|Work on better managing the recruiting departments, consider training current RN's for specialty areas. Provide better benefits for non union employees. For an RN switching from a union position to a non union one, there is a considerable reduction in pay, not to mention an increase in out of pocket expenses for benefits, and a reduction in time off benefits. That leaves no incentive for nurses to want to switch to the non union positions.|3.0
Customer Service Representative|Flexible shift, great benefits and pay, wonderful people|thirty minute lunch prefer 45 minutes|Listen to your employees|5.0
